year_month,product,sentiment,n_pairs,month_product_total,share
2024-01,flower,negative,10,41,0.24390243902439024
2024-01,flower,neutral,8,41,0.1951219512195122
2024-01,flower,positive,23,41,0.5609756097560976
2024-01,gummies,negative,22,58,0.3793103448275862
2024-01,gummies,neutral,11,58,0.1896551724137931
2024-01,gummies,positive,25,58,0.43103448275862066
2024-01,oil,negative,18,58,0.3103448275862069
2024-01,oil,neutral,12,58,0.20689655172413793
2024-01,oil,positive,28,58,0.4827586206896552
2024-01,topical,negative,2,7,0.2857142857142857
2024-01,topical,neutral,1,7,0.14285714285714285
2024-01,topical,positive,4,7,0.5714285714285714
2024-01,vape,negative,13,41,0.3170731707317073
2024-01,vape,neutral,11,41,0.2682926829268293
2024-01,vape,positive,17,41,0.4146341463414634
2024-02,flower,negative,11,51,0.21568627450980393
2024-02,flower,neutral,11,51,0.21568627450980393
2024-02,flower,positive,29,51,0.5686274509803921
2024-02,gummies,negative,17,53,0.32075471698113206
2024-02,gummies,neutral,7,53,0.1320754716981132
2024-02,gummies,positive,29,53,0.5471698113207547
2024-02,oil,negative,18,60,0.3
2024-02,oil,neutral,11,60,0.18333333333333332
2024-02,oil,positive,31,60,0.5166666666666667
2024-02,topical,negative,1,6,0.16666666666666666
2024-02,topical,neutral,3,6,0.5
2024-02,topical,positive,2,6,0.3333333333333333
2024-02,vape,negative,15,47,0.3191489361702128
2024-02,vape,neutral,10,47,0.2127659574468085
2024-02,vape,positive,22,47,0.46808510638297873
2024-03,flower,negative,9,30,0.3
2024-03,flower,neutral,2,30,0.06666666666666667
2024-03,flower,positive,19,30,0.6333333333333333
2024-03,gummies,negative,18,44,0.4090909090909091
2024-03,gummies,neutral,9,44,0.20454545454545456
2024-03,gummies,positive,17,44,0.38636363636363635
2024-03,oil,negative,13,49,0.2653061224489796
2024-03,oil,neutral,7,49,0.14285714285714285
2024-03,oil,positive,29,49,0.5918367346938775
2024-03,topical,negative,2,3,0.6666666666666666
2024-03,topical,positive,1,3,0.3333333333333333
2024-03,vape,negative,21,38,0.5526315789473685
2024-03,vape,neutral,3,38,0.07894736842105263
2024-03,vape,positive,14,38,0.3684210526315789
2024-04,flower,negative,14,49,0.2857142857142857
2024-04,flower,neutral,6,49,0.12244897959183673
2024-04,flower,positive,29,49,0.5918367346938775
2024-04,gummies,negative,16,56,0.2857142857142857
2024-04,gummies,neutral,5,56,0.08928571428571429
2024-04,gummies,positive,35,56,0.625
2024-04,oil,negative,14,52,0.2692307692307692
2024-04,oil,neutral,5,52,0.09615384615384616
2024-04,oil,positive,33,52,0.6346153846153846
2024-04,topical,negative,1,3,0.3333333333333333
2024-04,topical,neutral,2,3,0.6666666666666666
2024-04,vape,negative,15,50,0.3
2024-04,vape,neutral,13,50,0.26
2024-04,vape,positive,22,50,0.44
2024-05,flower,negative,10,33,0.30303030303030304
2024-05,flower,neutral,5,33,0.15151515151515152
2024-05,flower,positive,18,33,0.5454545454545454
2024-05,gummies,negative,13,43,0.3023255813953488
2024-05,gummies,neutral,4,43,0.09302325581395349
